Well,Content,Well Scan: Average (600),
O07,Sample X343,0.088,
O08,Sample X344,0.090,
O09,Sample X345,0.103,
O10,Sample X346,0.086,
O11,Sample X347,0.211,
O12,Sample X348,0.080,
O13,Sample X349,0.144,
O14,Sample X350,0.162,
O15,Sample X351,0.085,
O16,Sample X352,0.255,
O17,Sample X353,0.146,
O18,Sample X354,0.098,
O19,Sample X355,0.099,
O20,Sample X356,0.141,
O21,Sample X357,0.088,
O22,Sample X358,0.108,
O23,Sample X359,0.074,
O24,Sample X360,0.049,
P01,Sample X361,0.122,
P02,Sample X362,0.240,
P03,Sample X363,0.069,
P04,Sample X364,0.087,
P05,Sample X365,0.073,
P06,Sample X366,0.071,
P07,Sample X367,0.080,
P08,Sample X368,0.077,
P09,Sample X369,0.074,
P10,Sample X370,0.069,
P11,Sample X371,0.076,
P12,Sample X372,0.075,
P13,Sample X373,0.084,
P14,Sample X374,0.081,
P15,Sample X375,0.082,
P16,Sample X376,0.088,
P17,Sample X377,0.080,
P18,Sample X378,0.083,
P19,Sample X379,0.076,
P20,Sample X380,0.095,
P21,Sample X381,0.187,
P22,Sample X382,0.092,
P23,Sample X383,0.044,
P24,Sample X384,0.048,
