Well,Content,Well Scan: Average (600),
O17,Sample X353,0.550,
O18,Sample X354,0.516,
O19,Sample X355,0.572,
O20,Sample X356,0.633,
O21,Sample X357,0.646,
O22,Sample X358,0.716,
O23,Sample X359,0.047,
O24,Sample X360,0.435,
P01,Sample X361,0.087,
P02,Sample X362,0.058,
P03,Sample X363,0.235,
P04,Sample X364,0.209,
P05,Sample X365,0.183,
P06,Sample X366,0.105,
P07,Sample X367,0.123,
P08,Sample X368,0.494,
P09,Sample X369,0.433,
P10,Sample X370,0.279,
P11,Sample X371,0.090,
P12,Sample X372,0.091,
P13,Sample X373,0.592,
P14,Sample X374,0.552,
P15,Sample X375,0.595,
P16,Sample X376,0.634,
P17,Sample X377,0.628,
P18,Sample X378,0.595,
P19,Sample X379,0.664,
P20,Sample X380,0.620,
P21,Sample X381,0.694,
P22,Sample X382,0.611,
P23,Sample X383,0.092,
P24,Sample X384,0.052,
