Well,Content,Well Scan: Average (600),
P15,Sample X375,0.249,
P16,Sample X376,0.245,
P17,Sample X377,0.233,
P18,Sample X378,0.093,
P19,Sample X379,0.102,
P20,Sample X380,0.218,
P21,Sample X381,0.213,
P22,Sample X382,0.113,
P23,Sample X383,0.079,
P24,Sample X384,0.077,
